Line 2 x,Line 2 y
7.649044460104E9,1.998468433704E-1
7.553353920298E9,1.998468433704E-1
7.458860481575E9,1.998468433704E-1
7.365549168045E9,1.998468433704E-1
7.273405191169E9,1.998468433704E-1
7.182413947413E9,1.998468433704E-1
7.092561015936E9,1.998468433704E-1
6.959755851093E9,1.950943840247E-1
6.829437406037E9,1.904549405738E-1
6.744000256944E9,1.904549405738E-1
6.659631937685E9,1.904549405738E-1
6.576319077059E9,1.904549405738E-1
6.494048471141E9,1.904549405738E-1
6.412807081191E9,1.904549405738E-1
6.332582031582E9,1.904549405738E-1
6.253360607765E9,1.904549405738E-1
6.175130254251E9,1.904549405738E-1
6.097878572622E9,1.904549405738E-1
6.021593319564E9,1.904549405738E-1
5.908841565773E9,1.859258254424E-1
5.798201040241E9,1.815044149670E-1
5.725664792042E9,1.815044149670E-1
5.654035981730E9,1.815044149670E-1
5.583303257140E9,1.815044149670E-1
5.513455408123E9,1.815044149670E-1
5.444481364770E9,1.815044149670E-1
5.376370195659E9,1.815044149670E-1
5.309111106121E9,1.815044149670E-1
5.242693436531E9,1.815044149670E-1
5.177106660614E9,1.815044149670E-1
5.112340383784E9,1.815044149670E-1
5.016614001470E9,1.771881478764E-1
4.922680054632E9,1.729745238074E-1
4.861096687693E9,1.729745238074E-1
4.800283736674E9,1.729745238074E-1
4.740231563572E9,1.729745238074E-1
4.680930650956E9,1.729745238074E-1
4.622371600460E9,1.729745238074E-1
4.564545131293E9,1.729745238074E-1
4.507442078766E9,1.729745238074E-1
4.451053392844E9,1.729745238074E-1
4.395370136709E9,1.729745238074E-1
4.340383485340E9,1.729745238074E-1
4.259111665055E9,1.688611018570E-1
4.179361624768E9,1.648454991679E-1
4.127077267943E9,1.648454991679E-1
4.075446995214E9,1.648454991679E-1
4.024462623904E9,1.648454991679E-1
3.974116073702E9,1.648454991679E-1
3.924399365382E9,1.648454991679E-1
3.875304619542E9,1.648454991679E-1
3.826824055350E9,1.648454991679E-1
3.778949989314E9,1.648454991679E-1
3.731674834062E9,1.648454991679E-1
3.684991097144E9,1.648454991679E-1
3.615991218398E9,1.609253895484E-1
3.548283332805E9,1.570985021248E-1
3.503893847390E9,1.570985021248E-1
3.460059680203E9,1.570985021248E-1
3.416773884143E9,1.570985021248E-1
3.374029599013E9,1.570985021248E-1
3.331820050444E9,1.570985021248E-1
3.290138548809E9,1.570985021248E-1
3.248978488175E9,1.570985021248E-1
3.208333345246E9,1.570985021248E-1
3.148258678588E9,1.533626200261E-1
3.089308884313E9,1.497155790995E-1
3.050661228869E9,1.497155790995E-1
2.993538905005E9,1.461552666568E-1
2.937486172170E9,1.426796202505E-1
2.900737838577E9,1.426796202505E-1
2.937486172170E9,1.426796202505E-1
2.900737838577E9,1.426796202505E-1
2.870430182765E9,1.404085630781E-1
2.846264494132E9,1.295841383558E-1
2.882186200714E9,1.218540132856E-1
2.882055617508E9,1.148918495894E-1
2.881948781104E9,1.094924494024E-1
2.881841948660E9,1.043467967395E-1
2.881735120177E9,9.944296660841E-2
2.918080450369E9,9.251592539210E-2
2.954938948636E9,8.816809300319E-2
2.992232197418E9,8.290857285844E-2
2.992096628359E9,7.817156797455E-2
3.029833871856E9,7.272625905254E-2
3.068103936172E9,6.930845197455E-2
3.106857392609E9,6.605126645711E-2
3.146100346931E9,6.294715400930E-2
3.185806176720E9,5.919214680329E-2
3.185661837404E9,5.581018666542E-2
3.205599039058E9,5.192253652276E-2
3.246089206699E9,4.948241083574E-2
3.266404588055E9,4.603554364108E-2
3.286847111549E9,4.282877981360E-2
3.307512934982E9,4.136543636868E-2
3.349255896471E9,3.889785043745E-2
3.391560604910E9,3.706982641592E-2
3.434399667370E9,3.532771130159E-2
3.477744021836E9,3.322029576236E-2
3.477586455693E9,3.132224471836E-2
3.499350643473E9,2.914038623655E-2
3.521352568137E9,2.814473813806E-2
3.565794324686E9,2.646581085083E-2
3.610834146641E9,2.522203677487E-2
3.656442870046E9,2.403671448642E-2
3.702627680740E9,2.290709701436E-2
3.725869329176E9,2.183056648286E-2
3.772931070806E9,2.080462804448E-2
3.820587252909E9,1.982690409838E-2
3.844608930492E9,1.914947246779E-2
3.893130392291E9,1.800714271135E-2
3.942304821255E9,1.716088799380E-2
3.967050939576E9,1.635440344181E-2
4.017159064648E9,1.558582003647E-2
4.042416673875E9,1.505329476530E-2
4.093434597873E9,1.415531563967E-2
4.145139084640E9,1.349007947031E-2
4.171158407573E9,1.285610640890E-2
4.223844629749E9,1.225192722999E-2
4.250401760143E9,1.183331204931E-2
4.304044591017E9,1.112741560784E-2
4.331061374736E9,1.060447712152E-2
4.385767343570E9,1.010611439207E-2
4.441164307697E9,9.631172469436E-3
4.525658375461E9,9.178550681044E-3
4.582822313956E9,8.747200080970E-3
4.640708294547E9,8.336121019035E-3
4.669838339472E9,7.944360824120E-3
4.699199624408E9,7.672923524558E-3
4.758506575826E9,7.215208103118E-3
4.849038145752E9,6.876125773773E-3
4.910286718959E9,6.552978788833E-3
4.972308927599E9,6.245018258782E-3
5.003571975396E9,6.031642893614E-3
5.066720303576E9,5.671835323502E-3
5.098524455161E9,5.405284573244E-3
5.130581074341E9,5.220600634485E-3
5.195332339842E9,4.909174434036E-3
5.294174610104E9,4.678465315399E-3
5.361045736178E9,4.458598487689E-3
5.462939480940E9,4.148019504131E-3
5.531987860405E9,3.995593580201E-3
5.601816676944E9,3.767304204918E-3
5.656668191291E9,3.542571972630E-3
5.744117898249E9,3.340166115705E-3
5.816672292549E9,3.183193331175E-3
5.890143126976E9,3.033597561508E-3
5.964541977154E9,2.891032120186E-3
6.039880564923E9,2.755166613397E-3
6.116170760179E9,2.625686174350E-3
6.193424582751E9,2.502290733581E-3
6.271654204288E9,2.384694323538E-3
6.350871950183E9,2.272624415859E-3
